Dates,X,Y,Z,A,B,D
08/25/2014,0,0,0,0,0,3
08/26/2014,0,0,0,0,0,3
08/27/2014,0,0,0,0,0,3
08/28/2014,0,0,0,0,0,3
08/29/2014,1,0,0,0,0,0
08/30/2014,0,1,0,0,0,2
08/31/2014,0,0,0,0,0,2
09/01/2014,0,0,0,0,0,3
09/02/2014,3,0,0,0,2,0
09/03/2014,1,0,0,0,1,1
09/04/2014,3,1,0,0,1,0
09/05/2014,7,0,0,0,0,0
09/06/2014,0,0,0,0,0,3
09/07/2014,0,0,0,0,0,3
09/08/2014,1,0,2,0,0,0
09/09/2014,0,0,2,0,0,1
09/10/2014,1,0,2,0,0,0
09/11/2014,2,0,2,0,0,0
09/12/2014,1,0,0,0,0,0
09/13/2014,1,0,0,0,0,0
09/14/2014,2,0,2,0,0,0
09/15/2014,0,0,0,0,0,3
09/16/2014,1,0,2,0,0,0
09/17/2014,1,0,2,0,0,0
09/18/2014,3,1,2,0,0,0
09/19/2014,1,2,2,1,0,0
09/20/2014,1,0,0,0,0,0
09/21/2014,0,0,0,0,0,3
09/22/2014,1,0,2,0,0,0
09/23/2014,3,0,1,0,0,0
09/24/2014,2,0,2,0,0,0
09/25/2014,0,0,2,0,0,1
09/26/2014,1,0,1,0,0,1
09/27/2014,2,0,1,0,0,0
09/28/2014,0,0,0,0,0,3
09/29/2014,0,0,0,0,0,3
09/30/2014,1,0,2,0,0,0
10/01/2014,0,0,2,0,1,0
10/02/2014,1,0,2,0,1,0
10/03/2014,0,0,0,0,0,3
10/04/2014,0,0,0,0,0,3
10/05/2014,1,0,0,0,0,0
10/06/2014,0,0,1,0,0,2
10/07/2014,0,0,1,0,0,2
10/08/2014,0,0,1,0,0,2
10/09/2014,2,0,1,0,1,0
10/10/2014,0,0,2,0,1,0
10/11/2014,3,1,0,0,0,0
10/12/2014,0,0,2,0,0,1
10/13/2014,0,0,2,0,1,0
10/14/2014,0,0,2,0,0,1
10/15/2014,0,0,2,1,0,0
10/16/2014,0,0,2,1,0,0
10/17/2014,0,0,2,1,0,0
10/18/2014,0,0,2,0,0,1
10/19/2014,1,0,0,0,0,0
10/20/2014,0,0,2,0,0,1
10/21/2014,0,0,2,0,0,1
10/22/2014,1,1,2,0,1,0
10/23/2014,1,0,2,0,1,0
10/24/2014,0,0,2,0,0,1
10/25/2014,0,0,0,0,0,3
10/26/2014,0,0,0,0,0,3
10/27/2014,1,0,2,0,0,0
10/28/2014,0,0,2,0,0,1
10/29/2014,0,1,2,0,0,0
10/30/2014,0,0,2,0,1,0
10/31/2014,0,0,2,0,0,1
11/01/2014,0,0,0,0,0,3
11/02/2014,0,0,0,0,0,3
11/03/2014,0,0,2,0,0,1
11/04/2014,0,0,2,0,0,1
11/05/2014,1,0,2,0,1,0
11/06/2014,1,0,2,0,0,0
11/07/2014,0,0,2,0,1,0
11/08/2014,0,0,0,0,0,3
11/09/2014,0,0,0,0,0,3
11/10/2014,1,0,0,0,0,0
11/11/2014,0,0,0,0,0,3
11/12/2014,0,0,1,0,1,1
11/13/2014,0,1,2,0,0,0
11/14/2014,0,0,2,0,0,1
11/15/2014,0,0,2,0,0,1
11/16/2014,0,0,0,0,0,3
11/17/2014,0,1,2,1,0,0
11/18/2014,0,1,2,0,0,0
11/19/2014,0,1,2,0,0,0
11/20/2014,0,1,2,0,0,0
11/21/2014,6,0,0,0,0,0
11/22/2014,0,0,2,0,1,0
11/23/2014,0,0,0,0,0,3
11/24/2014,0,0,2,0,0,0
11/25/2014,0,1,2,0,0,0
11/26/2014,0,1,2,0,0,0
11/27/2014,0,1,0,0,0,2
11/28/2014,3,0,0,0,0,0
11/29/2014,1,1,0,0,0,1
11/30/2014,1,0,0,0,0,0
12/01/2014,0,1,2,0,0,0
12/02/2014,2,0,2,0,0,0
